Updated 09/18/25 at 06:03pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
2026 Mid 2nd,,PI,,3865,,,,3214,,0
Trevor Lawrence,QB20,QB,JAC,3826,26.0,No,QB22,4601.99,,0
Jaxson Dart,QB21,QB,NYG,3825,22.4,Yes,QB21,4633,,0
Elic Ayomanor,WR50,WR,TEN,3822,22.3,Yes,WR43,3256,,0
Calvin Ridley,WR51,WR,TEN,3809,30.7,No,WR54,3018,,0
Dalton Kincaid,TE11,TE,BUF,3774,25.9,No,TE11,3035,,0
Chris Godwin,WR52,WR,TBB,3768,29.6,No,WR52,3032,,0
J.K. Dobbins,RB37,RB,DEN,3755,26.8,No,RB37,3113,,0
2027 Mid 2nd,,PI,,3752,,,,3093,,0
Cedric Tillman,WR53,WR,CLE,3741,25.4,No,WR55,2997,,0
Justin Fields,QB22,QB,NYJ,3726,26.5,No,QB23,4059,,0
Jared Goff,QB23,QB,DET,3716,30.9,No,QB20,4646,,0
Jauan Jennings,WR54,WR,SFO,3699,28.2,No,WR51,3061,,0
Isaac TeSlaa,WR55,WR,DET,3661,23.6,Yes,WR53,3031.99,,0
Braelon Allen,RB38,RB,NYJ,3660.99,21.7,No,RB38,2949,,0
2028 Early 2nd,,PI,,3658,,,,3006,,0
David Njoku,TE12,TE,CLE,3645,29.2,No,TE14,2923,,0
Tyrone Tracy,RB39,RB,NYG,3644,25.8,No,RB39,2898,,0
Isiah Pacheco,RB40,RB,KCC,3627,26.6,No,RB40,2827,,0
Bryce Young,QB24,QB,CAR,3616,24.2,No,QB24,3865,,0
Isaiah Likely,TE13,TE,BAL,3610,25.4,No,TE12,2956,,0
Jake Ferguson,TE14,TE,DAL,3609.99,26.7,No,TE13,2945,,0
2026 Late 2nd,,PI,,3604,,,,2947,,0
Tre Harris,WR56,WR,LAC,3602,23.6,Yes,WR62,2815,,0
Dont'e Thornton,WR57,WR,LVR,3575,22.8,Yes,WR57,2888,,0
Brenton Strange,TE15,TE,JAC,3572,24.7,No,TE15,2915,,0
Troy Franklin,WR58,WR,DEN,3510,22.6,No,WR56,2892,,0
Ollie Gordon,RB41,RB,MIA,3508,21.7,Yes,RB41,2770,,0
2028 Mid 2nd,,PI,,3504,,,,2826.99,,0
2027 Late 2nd,,PI,,3456,,,,2913,,0
Marvin Mims,WR59,WR,DEN,3445,23.5,No,WR63,2779,,0
Rashid Shaheed,WR61,WR,NOS,3437,27.0,No,WR58,2863,,0
Romeo Doubs,WR60,WR,GBP,3436.99,25.4,No,WR60,2828,,0
Darnell Mooney,WR62,WR,ATL,3416,27.9,No,WR68,2678,,0
Jalen Coker,WR63,WR,CAR,3382,23.9,No,WR64,2744,,0
Kyle Williams,WR64,WR,NEP,3378,22.8,Yes,WR67,2698,,0
Mason Taylor,TE16,TE,NYJ,3353,21.4,Yes,TE16,2693,,0
Wan'Dale Robinson,WR65,WR,NYG,3343,24.7,No,WR59,2833,,0
Stefon Diggs,WR66,WR,NEP,3321,31.8,No,WR70,2636,,0
Travis Kelce,TE17,TE,KCC,3320.99,36.0,No,TE18,2601,,0
Aaron Jones,RB42,RB,MIN,3311,30.8,No,RB43,2704,,0
Brian Robinson,RB43,RB,SFO,3309,26.5,No,RB47,2591,,0
Jaydon Blue,RB44,RB,DAL,3300,21.7,Yes,RB45,2608,,0
Tory Horton,WR67,WR,SEA,3295,22.8,Yes,WR66,2705,,0
Jalen McMillan,WR68,WR,TBB,3256,23.8,No,WR69,2668,,0
Tyjae Spears,RB45,RB,TEN,3248,24.3,No,RB46,2600.99,,0
Rhamondre Stevenson,RB46,RB,NEP,3238,27.6,No,RB42,2732,,0
2028 Late 2nd,,PI,,3235,,,,2677.99,,0
Kayshon Boutte,WR69,WR,NEP,3230,23.4,No,WR61,2819,,0
Tyler Allgeier,RB47,RB,ATL,3208,25.4,No,RB44,2697,,0
Mark Andrews,TE18,TE,BAL,3196,30.0,No,TE19,2545,,0
Jaylin Noel,WR70,WR,HOU,3192,23.0,Yes,WR72,2535,,0
